"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C7,C8,C9,C10,C11,C16","6","100nf","","","","",""
"C12","1","10uf","","","","",""
"C13","1","10nf","","","","",""
"C14,C15","2","1uf","","","","",""
"C19,C23,C25,C26,C27,C50,C53,C54,C58,C59,C60","11","1uF","","","","",""
"C20","1","47nF","","","","",""
"C21,C24,C42","3","0.1uF","","","","",""
"C22,C28,C29","3","10uF","","","","",""
"C30","1","15uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41","11","15uF","","","","",""
"C43","1","1nF","","","","",""
"C44,C45,C51,C52","4","100nF","","","","",""
"C46,C47,C48","3","10pF","","","","",""
"C49","1","0.47uF","","","","",""
"C55,C56","2","47uF","","","","",""
"C57","1","1pF","","","","",""
"C61","1","33uF","","","","",""
"C62","1","100pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C63","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","9","BAT30KFILM","","","","core:SOD-523_L1.2-W0.8-LS1.6-RD-1","https://www.lcsc.com/datasheet/C2926449.pdf"
"D10","1","SMBJ14A_C315990","","","","core:SMB_L4.4-W3.6-LS5.4-RD","https://lcsc.com/product-detail/TVS_Littelfuse-SMBJ14A_C315990.html"
"D11","1","SMBJ30A-TR","","","","core:SMB_L4.6-W3.6-LS5.3-RD","https://lcsc.com/product-detail/TVS_STMicroelectronics_SMBJ30A-TR_SMBJ30A-TR_C133663.html"
"DA1,DA2","2","USBLC6-2P6","","","","core:SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR","https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2P6_USBLC6-2P6_C15999.html"
"FB1","1","BLM15BX601SN1D","","","","core:L0402","https://www.lcsc.com/datasheet/C710336.pdf"
"J1","1","GT-A1257WRS-103SBT01","","","","connector:CONN-SMD_GT-A1257WRS-103SBT01","https://www.lcsc.com/datasheet/C22472755.pdf"
"J2","1","BM04B-GHS-TBT","","","","connector:CONN-SMD_4P-P1.25_BM04B-GHS-TBT-LF-SN","https://lcsc.com/product-detail/Connectors_JST_BM04B-GHS-TBT-LF-SN_GHseries-socket-1-4P-pitch1-25mm-SMD_C161692.html"
"J3","1","S8B-PHDSS,SM05B-GHS-TB","","","","connector:CONN-SMD_5P-P1.25_SM05B-GHS-TB-LF-SN,connector:CONN-TH_S8B-PHDSS-LF-SN","https://lcsc.com/product-detail/Connectors_JST-Sales-America_SM05B-GHS-TB-LF-SN_JST-Sales-America-SM05B-GHS-TB-LF-SN_C189896.html,https://lcsc.com/product-detail/PH-Connectors_JST_S8B-PHDSS-LF-SN_PHDseries-socket-2-4P-pitch2mm-Curved-needle_C161676.html"
"J4,J5","2","XY-SM02B-GHS-TB","","","","connector:CONN-SMD_SM02B-GHS-TB-LF-SN","https://www.lcsc.com/datasheet/C54582897.pdf"
"J6","1","Conn_02x03_Counter_Clockwise_MountingPin","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"J7","1","Conn_02x01","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J8","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J9","1","XT30PW-M","","","","connector:CONN-TH_XT30PW-M","https://lcsc.com/product-detail/New-Arrivals_Changzhou-Amass-Elec-XT30PW-MMale-head_C431092.html"
"L1","1","15uH","","","","core:IND-SMD_L8.0-W8.0_1217AS-H-330M","https://www.lcsc.com/datasheet/C6038521.pdf"
"LED1,LED2,LED3,LED6","4","150060RS75000","","","","core:LED0603-RD_RED","https://www.lcsc.com/datasheet/C3030991.pdf"
"LED4,LED5","2","LTST-C171KGKT","","","","core:LED0805-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_LTST-C171KGKT_C98224.html"
"Q1,Q2,Q3,Q4,Q5,Q6,Q9","7","STL110N10F7","","","","core:DFN-8_L5.8-W4.9-P1.27-LS6.0-BL-1","https://www.lcsc.com/datasheet/C672185.pdf"
"Q7,Q8","2","PJA138K_R1_00001","","","","core:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://www.lcsc.com/datasheet/C2902548.pdf"
"R1,R2,R3","3","SEWF3920D4L00P9","","","","core:RES-SMD_L10.0-W5.2-1","https://www.lcsc.com/datasheet/C28965821.pdf"
"R4","1","10k","","","","core:R0603","https://lcsc.com/product-detail/NTC-Thermistors_PANASONIC-ERT-J1VG103FA_C153011.html"
"R11,R15,R59","3","10k","","","","",""
"R12","1","2.55M","","","","",""
"R13","1","200k","","","","",""
"R14,R24,R25,R26","4","0","","","","",""
"R16,R17","2","10","","","","",""
"R18,R19,R54","3","5.1k","","","","",""
"R20,R21,R33,R42,R44","5","100k","","","","",""
"R22","1","120","DNP","","","",""
